tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_modelo_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio,fecha_recup,dias
DENUNCIA DE ROBO O HURTO,2019-08-01,2001-01-17,CAPITAL FEDERAL Nº 080,Ciudad Autónoma de Bs.As.,Nacional,2001.0,SEDAN 3 P,PEUGEOT,PARTNER,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1954.0,ARGENTINA,1.0,2019-08-01,0 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-08-06,2018-02-27,CAPITAL FEDERAL Nº 080,Ciudad Autónoma de Bs.As.,Nacional,2018.0,SEDAN 4 P,RENAULT,LOGAN,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1975.0,BOLIVIA,1.0,2019-08-06,0 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-08-16,2011-05-17,QUILMES Nº 1,Buenos Aires,Protocolo 21,2011.0,SEDAN 4 P,CITROEN,C3,Privado,Física,BERNAL OESTE,BUENOS AIRES,Femenino,1982.0,ARGENTINA,1.0,2019-09-24,39 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-08-22,1994-02-01,LA MATANZA Nº 03,Buenos Aires,Nacional,1994.0,SEDAN 4 P,RENAULT,RENAULT 9,Privado,Física,LA TABLADA,BUENOS AIRES,Masculino,1998.0,ARGENTINA,1.0,2019-08-22,0 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-08-06,2017-10-25,CORDOBA Nº 11,Córdoba,Protocolo 21,2017.0,PICK UP,FIAT,STRADA,Privado,Física,CORDOBA,CORDOBA,Masculino,1955.0,ARGENTINA,1.0,2019-09-09,34 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-08-09,2000-03-22,GODOY CRUZ,Mendoza,Nacional,2000.0,SEDAN 4 P,FIAT,DUNA,Privado,Física,GOBERNADOR BENEGAS,MENDOZA,Masculino,1951.0,ARGENTINA,1.0,2019-09-10,32 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-08-16,2008-01-18,NEUQUEN Nº 1,Neuquén,Nacional,2008.0,SEDAN 4 P,VOLKSWAGEN,SURAN,Privado,Física,NEUQUEN,NEUQUEN,Femenino,1954.0,ARGENTINA,1.0,2019-08-26,10 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-08-21,2000-09-21,ROSARIO Nº 03,Santa Fe,Protocolo 21,2000.0,SEDAN 4 P,CHEVROLET,ASTRA,Privado,Física,ROSARIO,SANTA FE,Masculino,1985.0,ARGENTINA,1.0,2019-08-29,8 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-08-06,1999-10-06,MAR DEL PLATA Nº 07,Buenos Aires,Protocolo 21,1999.0,SEDAN 4 P,VOLKSWAGEN,GOL,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Femenino,1987.0,ARGENTINA,1.0,2019-09-06,31 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-08-29,1998-03-13,QUILMES Nº 7,Buenos Aires,Protocolo 21,1998.0,SEDAN 3 P,VOLKSWAGEN,GOL,Privado,Física,BERNAL,BUENOS AIRES,Masculino,1961.0,ARGENTINA,1.0,2019-09-19,21 days 00:00:00.000000000
