tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_modelo_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio,fecha_recup,dias
DENUNCIA DE ROBO O HURTO,2019-04-11,2015-05-28,CORDOBA Nº 14,Córdoba,Nacional,2015.0,SEDAN 4 P,RENAULT,FLUENCE,Privado,Física,CORDOBA,CORDOBA,Femenino,1983.0,ARGENTINA,1.0,2019-05-27,46 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-04-03,2011-03-02,CORDOBA Nº 19,Córdoba,Protocolo 21,2011.0,SEDAN 4 P,FIAT,PUNTO,Privado,Física,CORDOBA,CORDOBA,Femenino,1976.0,ARGENTINA,1.0,2019-05-27,54 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-04-25,2007-09-27,MENDOZA Nº 01,Mendoza,Importado,2007.0,SEDAN 3 P,AUDI,A3,Privado,Física,LAS HERAS,MENDOZA,Masculino,1988.0,ARGENTINA,1.0,2019-05-21,26 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-04-09,2013-11-26,TUPUNGATO,Mendoza,Nacional,2013.0,PICK UP,TOYOTA,HILUX,Privado,Física,TUPUNGATO,MENDOZA,No aplica,1982.0,ARGENTINA,1.0,2019-05-21,42 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-04-03,2017-09-29,NEUQUEN Nº 2,Neuquén,Protocolo 21,2017.0,FURGON,FIAT,FIORINO,Privado,Física,NEUQUÉN,NEUQUEN,Masculino,1961.0,ARGENTINA,1.0,2019-04-30,27 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-04-15,2010-10-29,ROSARIO Nº 11,Santa Fe,Nacional,2010.0,SEDAN 4 P,CHEVROLET,AGILE,Privado,Física,ROSARIO,SANTA FE,Masculino,1986.0,ARGENTINA,1.0,2019-06-25,71 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-09,2012-03-28,TRES DE FEBRERO Nº 2,Buenos Aires,Protocolo 21,2012.0,SEDAN 4 P,VOLKSWAGEN,GOL,Privado,Física,CIUDADELA,BUENOS AIRES,Femenino,1983.0,ARGENTINA,1.0,2019-07-01,53 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-31,2004-06-02,LANUS Nº 9,Buenos Aires,Protocolo 21,2004.0,SEDAN 3 P,FIAT,UNO,Privado,Física,REMEDIOS DE ESCALADA,BUENOS AIRES,Masculino,1996.0,ARGENTINA,1.0,2019-06-06,6 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-20,2011-08-17,LA MATANZA Nº 04,Buenos Aires,Nacional,2011.0,SEDAN 4 P,CHEVROLET,CLASSIC,Privado,Física,SAN JUSTO,BUENOS AIRES,Masculino,1999.0,ARGENTINA,1.0,2019-07-23,64 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-17,1995-11-20,BERAZATEGUI Nº 2,Buenos Aires,Importado,1995.0,SEDAN 4 P,RENAULT,CLIO,Privado,Física,BERAZATEGUI,BUENOS AIRES,Masculino,1941.0,ARGENTINA,1.0,2019-08-29,104 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-23,2017-01-30,LOMAS DE ZAMORA Nº 6,Buenos Aires,Nacional,2017.0,PICK UP,VOLKSWAGEN,AMAROK,Privado,Física,LOMAS DE ZAMORA,BUENOS AIRES,Masculino,1947.0,BOLIVIA,1.0,2019-08-07,76 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-13,2011-03-17,LA MATANZA Nº 08,Buenos Aires,Nacional,2011.0,PICK UP,VOLKSWAGEN,AMAROK,Privado,Física,LOMAS DEL MIRADOR,BUENOS AIRES,Masculino,1992.0,ARGENTINA,1.0,2019-06-07,25 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-23,2015-06-16,ADROGUE Nº 3,Buenos Aires,Importado,2015.0,SEDAN 4 P,VOLKSWAGEN,VENTO,Privado,Física,BURZACO,BUENOS AIRES,Masculino,1990.0,ARGENTINA,1.0,2019-07-22,60 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-06,2008-06-25,FLORENCIO VARELA Nº 2,Buenos Aires,Nacional,2008.0,FURGON,PEUGEOT,PARTNER,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,Femenino,1968.0,ARGENTINA,1.0,2019-07-17,72 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-05-23,2005-06-08,TRES DE FEBRERO Nº 5,Buenos Aires,Protocolo 21,2005.0,SEDAN 4 P,VOLKSWAGEN,GOLF,Privado,Física,VILLA BOSCH,BUENOS AIRES,Masculino,1977.0,ARGENTINA,1.0,2019-07-15,53 days 00:00:00.000000000
