tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_indec_id,titular_pais_nacimiento_indec_id
COMUNICACIÓN DE RECUPERO,2018-01-09,2012-08-02,1186,MORENO Nº 2,Buenos Aires,Protocolo 21,2014.0,4.0,RURAL 5 PTAS,047,FORD,597,ECOSPORT 1.6 L 4X2 XL PLUS,1.0,Privado,Física,MORENO,BUENOS AIRES,Masculino,1962.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-17,2013-09-25,1186,MORENO Nº 2,Buenos Aires,Protocolo 21,2013.0,5.0,SEDAN 5 PUERTAS,112,RENAULT,965,SANDERO AUTH. PACK I 1.6 8V,1.0,Privado,Física,MORENO,BUENOS AIRES,No identificado,1976.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-12,2012-08-28,1188,LA PLATA Nº 07,Buenos Aires,Protocolo 21,2012.0,5.0,SEDAN 5 PTAS,044,FIAT,756,PALIO ESSENCE 1.6 16V,1.0,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,1946.0,No aplica,100,6,
COMUNICACIÓN DE RECUPERO,2018-01-12,2006-02-10,1188,LA PLATA Nº 07,Buenos Aires,Nacional,2006.0,12.0,SEDAN 4 PTAS,53,VOLKSWAGEN,JS,POLO 1.9 SD 30A,1.0,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,1946.0,No aplica,100,6,
COMUNICACIÓN DE RECUPERO,2018-01-12,2014-03-07,1188,LA PLATA Nº 07,Buenos Aires,Nacional,2014.0,12.0,SEDAN 4 PUERTAS,37,RENAULT,WU,FLUENCE 2.0 16V LUXE,1.0,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,1946.0,No aplica,100,6,
COMUNICACIÓN DE RECUPERO,2018-01-23,2011-08-04,1188,LA PLATA Nº 07,Buenos Aires,Protocolo 21,2011.0,80.0,PICK-UP CABINA SIMPL,024,CHEVROLET,543,MONTANA SPORT,1.0,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,1946.0,No aplica,100,6,
COMUNICACIÓN DE RECUPERO,2018-01-02,2016-11-01,1200,SAN MARTIN Nº 6,Buenos Aires,Protocolo 21,2016.0,22.0,SEDAN 3 PUERTAS,136,VOLKSWAGEN,577,GOL TREND 1.6 MSI,1.0,Privado,Física,VILLA LYNCH,BUENOS AIRES,Masculino,1994.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-11,2010-07-28,1203,MALVINAS ARGENTINAS Nº 1 (EX. SAN MIGUEL NRO. 4),Buenos Aires,Nacional,2010.0,17.0,SEDAN 5 PTAS,34,PEUGEOT,JK,207 COMPACT XS 1.4 5P,1.0,Privado,Física,A.SOURDEAUX,BUENOS AIRES,Masculino,1944.0,Argentina,50,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-23,2017-10-02,1215,SAN ISIDRO Nº 08,Buenos Aires,Protocolo 21,2017.0,2.0,SEDAN 4 PUERTAS,055,HONDA,001,CIVIC EX,1.0,Privado,Física,MARTÍNEZ,BUENOS AIRES,Femenino,1938.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-26,2016-03-11,1227,LA MATANZA Nº 10,Buenos Aires,Nacional,2016.0,17.0,SEDAN 5 PUERTAS,37,RENAULT,YY,CLIO MIO 5P CONFORT,1.0,Privado,Física,GREGORIO DE LAFERRERE,BUENOS AIRES,Femenino,1959.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-04,2017-07-27,1230,ESCOBAR Nº 2,Buenos Aires,Protocolo 21,2017.0,4.0,RURAL 5 PUERTAS,047,FORD,993,ECOSPORT TITANIUM 1.6L MT N,1.0,Privado,Física,ESCOBAR,BUENOS AIRES,Masculino,1949.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-02,2006-10-13,1231,TRES DE FEBRERO Nº 5,Buenos Aires,Nacional,2006.0,17.0,SEDAN 5 PTAS,37,RENAULT,PR,CLIO 1.2 AUTENTIQUE CD AA F4 /2006,1.0,Privado,Física,SANTOS LUGARES,BUENOS AIRES,Masculino,1993.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-30,2005-04-07,1233,LANUS Nº 7,Buenos Aires,Nacional,2005.0,12.0,SEDAN 4 PTAS,08,CHEVROLET,BH,CORSA II 4 P GL AA+DIR GAS 1.8,1.0,Privado,Física,VALENTIN ALSINA,BUENOS AIRES,No identificado,1978.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-26,2017-05-31,1236,OLIVOS Nº 09,Buenos Aires,Nacional,2017.0,17.0,SEDAN 5 PUERTAS,53,VOLKSWAGEN,6C,SURAN 1.6 16V 5D 229,1.0,Privado,Física,FLORIDA,BUENOS AIRES,Masculino,1975.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-26,2017-06-06,1236,OLIVOS Nº 09,Buenos Aires,Protocolo 21,2017.0,2.0,SEDAN 4 PUERTAS,130,TOYOTA,909,ETIOS XS 1.5 6M/T,1.0,Privado,Física,OLIVOS,BUENOS AIRES,Masculino,1959.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-03,2013-09-23,1243,BERAZATEGUI Nº 4,Buenos Aires,Nacional,2013.0,12.0,SEDAN 4 PUERTAS,08,CHEVROLET,DS,CLASSIC 4P LT PACK 1.4N,1.0,Privado,Física,BERAZATEGUI,BUENOS AIRES,No identificado,1977.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-19,2000-09-28,1248,SAN ISIDRO Nº 09,Buenos Aires,Importado,2000.0,2.0,SEDAN 4 PTAS,011,AUDI,056,A4 2.4/2000,1.0,Privado,Física,"MARTINEZ, SAN ISIDRO",BUENOS AIRES,Masculino,1940.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-22,1992-04-07,1264,ADROGUE Nº 5,Buenos Aires,Nacional,1992.0,22.0,FURGON,37,RENAULT,37,RENAULT TRAFIC,1.0,Privado,Física,GLEW,BUENOS AIRES,Masculino,1953.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-04,2016-07-18,1266,MALVINAS ARGENTINAS Nº 3,Buenos Aires,Nacional,2016.0,17.0,SEDAN 5 PUERTAS,19,FORD,XH,FOCUS 5P 1.6L N MT S,1.0,Privado,Física,GRAND BOURG,BUENOS AIRES,Masculino,1990.0,Argentina,50,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-03,2010-05-17,1266,MALVINAS ARGENTINAS Nº 3,Buenos Aires,Nacional,2010.0,12.0,SEDAN 4 PTAS,37,RENAULT,UU,KANGOO AUTH. 1.6 DA AA CD 1P,1.0,Privado,Física,GRAND BOURG,BUENOS AIRES,No identificado,1959.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-23,2011-05-04,1266,MALVINAS ARGENTINAS Nº 3,Buenos Aires,Importado,2011.0,2.0,SEDAN 4 PTAS,024,CHEVROLET,482,AVEO LS 1.6N MT,1.0,Privado,Física,TORTUGUITAS,BUENOS AIRES,Femenino,1969.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-26,1997-04-30,1269,LA MATANZA Nº 12,Buenos Aires,Nacional,1997.0,17.0,SEDAN 5 PTAS,19,FORD,63,ESCORT CLX 1.8,1.0,Privado,Física,ALDO BONZI-LA MATANZA,BUENOS AIRES,Femenino,1988.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-09,1998-08-06,1272,LA PLATA Nº 14,Buenos Aires,Protocolo 21,1998.0,5.0,SEDAN 5 PTAS,136,VOLKSWAGEN,202,GOL GL 1.6 MI,1.0,Privado,Física,MANUEL B.GONNET,BUENOS AIRES,Masculino,1967.0,Argentina,50,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-22,2006-08-23,2008,CAPITAL FEDERAL Nº 008,Ciudad Autónoma de Bs.As.,Protocolo 21,2006.0,5.0,SEDAN 5 PTAS,136,VOLKSWAGEN,359,CROSSFOX 1.6,1.0,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1982.0,Argentina,100,2,ARG
COMUNICACIÓN DE RECUPERO,2018-01-02,2009-11-10,2008,CAPITAL FEDERAL Nº 008,Ciudad Autónoma de Bs.As.,Nacional,2008.0,20.0,PICK-UP,68,TOYOTA,36,HILUX 4X2 CABINA DOBLE DX PACK 2.5 TD,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1912.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-09,2011-07-21,2011,CAPITAL FEDERAL Nº 011,Ciudad Autónoma de Bs.As.,Protocolo 21,2011.0,4.0,RURAL 5 PTAS,044,FIAT,717,PALIO WEEKEND 1.4,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1977.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-02,2004-05-13,2016,CAPITAL FEDERAL Nº 016,Ciudad Autónoma de Bs.As.,Protocolo 21,2004.0,5.0,SEDAN 5 PTAS,136,VOLKSWAGEN,211,GOLF 1.6,1.0,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1975.0,Argentina,100,2,ARG
COMUNICACIÓN DE RECUPERO,2018-01-31,1998-03-25,2026,CAPITAL FEDERAL Nº 026,Ciudad Autónoma de Bs.As.,Importado,1998.0,10.0,TODO TERRENO,072,KIA,009,SPORTAGE 2.0 MRDI 4WD,1.0,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1967.0,Argentina,100,2,ARG
COMUNICACIÓN DE RECUPERO,2018-01-26,2015-01-19,2027,CAPITAL FEDERAL Nº 027,Ciudad Autónoma de Bs.As.,Protocolo 21,2015.0,5.0,SEDAN 5 PUERTAS,047,FORD,A41,FIESTA 1.6L S,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1994.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-31,2013-12-27,2027,CAPITAL FEDERAL Nº 027,Ciudad Autónoma de Bs.As.,Nacional,2013.0,12.0,SEDAN 4 PUERTAS,19,FORD,XB,FOCUS 4P 2.0L N MT SE PLUS,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1994.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-15,2012-05-21,2027,CAPITAL FEDERAL Nº 027,Ciudad Autónoma de Bs.As.,Protocolo 21,2012.0,4.0,RURAL 5 PUERTAS,044,FIAT,713,PALIO ADVENTURE 1.6,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1994.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-09,2011-03-21,2027,CAPITAL FEDERAL Nº 027,Ciudad Autónoma de Bs.As.,Protocolo 21,2011.0,5.0,SEDAN 5 PUERTAS,136,VOLKSWAGEN,413,GOL TREND 1.6,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1994.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-18,2014-03-11,2027,CAPITAL FEDERAL Nº 027,Ciudad Autónoma de Bs.As.,Nacional,2014.0,20.0,PICK-UP,68,TOYOTA,70,HILUX 4X2 C/D DX PACK ELECTRICO 2.5 TDI,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1994.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-04,2007-01-26,2027,CAPITAL FEDERAL Nº 027,Ciudad Autónoma de Bs.As.,Nacional,2007.0,17.0,SEDAN 5 PTAS,37,RENAULT,SB,CLIO PACK PLUS 1.2,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1994.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-18,2010-08-25,2027,CAPITAL FEDERAL Nº 027,Ciudad Autónoma de Bs.As.,Nacional,2010.0,12.0,SEDAN 4 PTAS,08,CHEVROLET,DD,CLASSIC 4 PTAS LT 1.4N,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1994.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-29,2015-06-02,2028,CAPITAL FEDERAL Nº 028,Ciudad Autónoma de Bs.As.,Protocolo 21,2015.0,5.0,SEDAN 5 PUERTAS,027,CITROEN,282,NUEVO C3 1.5I 90 TENDANCE PACK S,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1949.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-10,2014-10-06,2031,CAPITAL FEDERAL Nº 031,Ciudad Autónoma de Bs.As.,Nacional,2014.0,12.0,SEDAN 4 PUERTAS,08,CHEVROLET,DX,CLASSIC 4 P LS ABS+AIRBAG 1.4N,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1994.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-25,2013-10-16,2031,CAPITAL FEDERAL Nº 031,Ciudad Autónoma de Bs.As.,Nacional,2013.0,12.0,SEDAN 4 PUERTAS,08,CHEVROLET,DC,CLASSIC 4 PTAS LS AA + DIR 1.4N,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1994.0,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-23,2012-01-18,2036,CAPITAL FEDERAL Nº 036,Ciudad Autónoma de Bs.As.,Protocolo 21,2012.0,5.0,SEDAN 5 PUERTAS,044,FIAT,729,PUNTO ATTRACTIVE 1.4 8V,1.0,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1978.0,Argentina,100,2,ARG
COMUNICACIÓN DE RECUPERO,2018-01-31,2015-11-26,2037,CAPITAL FEDERAL Nº 037,Ciudad Autónoma de Bs.As.,Nacional,2015.0,17.0,SEDAN 5 PUERTAS,19,FORD,XC,FOCUS 5P 2.0L N MT SE,1.0,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1975.0,Argentina,100,2,ARG
