tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio
COMUNICACIÓN DE RECUPERO,2018-01-02,1994-03-10,LA MATANZA Nº 05,Buenos Aires,Importado,1994.0,SEDAN,FIAT,Privado,Física,ISIDRO CASANOVA,BUENOS AIRES,Masculino,1978.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-01-04,2009-08-06,LOMAS DE ZAMORA Nº 6,Buenos Aires,Nacional,2009.0,SEDAN 5 PUERTAS,RENAULT,Privado,Física,LLAVALLOL,BUENOS AIRES,Femenino,1954.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-01-09,2012-08-02,MORENO Nº 2,Buenos Aires,Protocolo 21,2014.0,RURAL 5 PTAS,FORD,Privado,Física,MORENO,BUENOS AIRES,Masculino,1962.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-01-17,2013-09-25,MORENO Nº 2,Buenos Aires,Protocolo 21,2013.0,SEDAN 5 PUERTAS,RENAULT,Privado,Física,MORENO,BUENOS AIRES,No identificado,1976.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-01-12,2012-08-28,LA PLATA Nº 07,Buenos Aires,Protocolo 21,2012.0,SEDAN 5 PTAS,FIAT,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,1946.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-12,2006-02-10,LA PLATA Nº 07,Buenos Aires,Nacional,2006.0,SEDAN 4 PTAS,VOLKSWAGEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,1946.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-12,2014-03-07,LA PLATA Nº 07,Buenos Aires,Nacional,2014.0,SEDAN 4 PUERTAS,RENAULT,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,1946.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-23,2011-08-04,LA PLATA Nº 07,Buenos Aires,Protocolo 21,2011.0,PICK-UP CABINA SIMPL,CHEVROLET,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,1946.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-02,2016-11-01,SAN MARTIN Nº 6,Buenos Aires,Protocolo 21,2016.0,SEDAN 3 PUERTAS,VOLKSWAGEN,Privado,Física,VILLA LYNCH,BUENOS AIRES,Masculino,1994.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-01-11,2010-07-28,MALVINAS ARGENTINAS Nº 1 (EX. SAN MIGUEL NRO. 4),Buenos Aires,Nacional,2010.0,SEDAN 5 PTAS,PEUGEOT,Privado,Física,A.SOURDEAUX,BUENOS AIRES,Masculino,1944.0,ARGENTINA,0
COMUNICACIÓN DE RECUPERO,2018-01-23,2017-10-02,SAN ISIDRO Nº 08,Buenos Aires,Protocolo 21,2017.0,SEDAN 4 PUERTAS,HONDA,Privado,Física,MARTÍNEZ,BUENOS AIRES,Femenino,1938.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-01-26,2016-03-11,LA MATANZA Nº 10,Buenos Aires,Nacional,2016.0,SEDAN 5 PUERTAS,RENAULT,Privado,Física,GREGORIO DE LAFERRERE,BUENOS AIRES,Femenino,1959.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-01-04,2017-07-27,ESCOBAR Nº 2,Buenos Aires,Protocolo 21,2017.0,RURAL 5 PUERTAS,FORD,Privado,Física,ESCOBAR,BUENOS AIRES,Masculino,1949.0,ARGENTINA,1
