marca,robados,patentados,rob_c_100m
VOLKSWAGEN,274,167982,163.1127144575014
PEUGEOT,131,81326,161.08009738582987
JEEP,34,22479,151.25227990568976
CHERY,11,7319,150.29375597759255
CITROEN,56,37654,148.72257927444628
FORD,175,132682,131.89430367344477
FIAT,129,112194,114.97941066367186
RENAULT,177,158969,111.34246299593002
TOYOTA,128,135192,94.68015858926563
HONDA,13,17196,75.59897650616422
CHEVROLET,102,137600,74.12790697674419
